"TextGrid","112"
"MAX","99"
"eXist","54"
"neo4j","38"
"Gephi","33"
"ATHEN","33"
"UIMA","32"
"Tesseract","26"
"WissKI","24"
"Transkribus","24"
"GAMS","20"
"Oxygen","19"
"Stylo","18"
"MALLET","18"
"CATMA","18"
"WITTfind","18"
"CorA","17"
"CorrespSearch","17"
"word2vec","16"
"Zotero","14"
"Calamari","14"
"EXMARaLDA","12"
"Voyant","12"
"CollateX","10"
"SADE","9"
"WebAnno","8"
"XTriples","8"
"IncipitSearch","8"
"Variance Viewer","8"
"Omeka","7"
"WebMAUS","7"
"WebLicht","7"
"EDEN","7"
"ScanTailor","7"
"Toolbox","7"
"Gensim","7"
"TXM","7"
"INCEpTION","7"
"Topics Explorer","7"
"Salt","6"
"prometheus Bildarchiv","6"
"Verovio","6"
"Pepper","6"
"OCR4all","6"
"Ezlinavis","6"
"FuD","5"
"GRACE","5"
"SALSAH","5"
"HeidelTime","5"
"ediarum","5"
"SPEEDy","5"
"ELAN","4"
"OCRopus","4"
"TUSTEP","4"
"Pliny","4"
"Protégé","4"
"Juxta","3"
"GATE","3"
"Kiln","3"
"EVT","3"
"GeTa","3"
"Carto","3"
"OSDS","3"
"Lightweight Information Describing Objects","3"
"MOM-CA","2"
"CATview","2"
"Zooniverse","2"
"TMW","2"
"Transcribo","2"
"Stanford NLP","2"
"FLEx","2"
"LAKomp","2"
"GROBID","2"
"ANNIS","2"
"Cultural Heritage Framework","2"
"eXGraphs","2"
"spaCy","2"
"ABBYY FineReader","2"
"DTA::CAB","2"
"LERA","2"
"MariaDB","2"
"Pundit","1"
"DiaCollo","1"
"Dualist","1"
"VietOCR","1"
"Duraark","1"
"TOPORAZ","1"
"CorpusExplorer","1"
"TEASys","1"
"LIWC","1"
"Stanford Named Entity Recognizer","1"
"Citavi","1"
"Easy Linavis","1"
"DARIAH Topics Explorer","1"
"CQPweb","1"
"CMDI-Maker","1"
"Edirom Online","1"
"digicult.web","1"
"#LancsBox","1"
