eXist;346
MAX;198
ELAN;144
TextGrid;113
CATMA;101
Transkribus;88
WissKI;83
Stylo;51
LERA;51
ANNIS;50
UIMA;38
CorrespSearch;34
TUSTEP;33
DiaCollo;32
WebAnno;29
OCRopus;28
Oxygen;28
WITTfind;27
LIDO;25
Gephi;24
ediarum;23
CorpusExplorer;23
XTriples;23
WebLicht;22
MALLET;20
Opaque;19
FuD;18
OSDS;16
EXMARaLDA;15
TEASys;15
CATview;14
VAnnotatoR;13
EFES;11
LAKomp;11
SADE;11
SALSAH;10
Zotero;8
Scripto;8
Omeka;7
CollateX;7
Gensim;7
Voyant;7
OCR4all;7
EVT;6
Ezlinavis;6
Juxta;5
INCEpTION;5
IncipitSearch;5
eXGraphs;5
Transcribo;4
Pundit;3
MOM-CA;3
TOPORAZ;3
Verovio;3
Protégé;3
Zooniverse;2
Kiln;2
eLaborate;2
Reledmac;1
Duraark;1
GROBID;1
LIWC;1
iART;1
WeGA-Webapp;1
Citavi;1
CMDI-Maker;1
digicult.web;1
